code,risk_type
519727,中高风险
519730,中风险
519731,中风险
519732,中高风险
519908,中高风险
519976,中高风险
519977,中高风险
519979,中高风险
519983,中高风险
519985,中低风险
519987,中高风险
519989,中风险
519991,中高风险
519993,中高风险
519995,中高风险
519997,中高风险
530001,中高风险
530003,中高风险
530005,中高风险
530006,中高风险
530008,中风险
530009,中风险
530010,高风险
530011,中高风险
530012,中高风险
530015,高风险
530016,中高风险
530017,中风险
530018,高风险
530019,中高风险
530020,中高风险
530021,中低风险
531009,中风险
531020,中高风险
531021,中低风险
540001,中高风险
540002,中高风险
540003,中高风险
540004,中高风险
540005,中风险
540006,高风险
540007,高风险
540008,高风险
540009,高风险
540010,高风险
540012,高风险
541005,中风险
550001,中高风险
550002,中高风险
550003,中高风险
550004,中风险
550005,中风险
550008,中高风险
550009,中高风险
550018,中低风险
550019,中低风险
560002,中高风险
560003,中高风险
560006,中高风险
570001,中高风险
570005,中高风险
570006,中高风险
570007,中高风险
570008,中高风险
571002,中高风险
573003,中风险
580001,中高风险
580002,中高风险
580003,中高风险
580005,中高风险
580006,中高风险
580007,中高风险
580008,中高风险
580009,中高风险
582001,中风险
582002,中风险
582201,中风险
582202,中风险
585001,高风险
590001,中高风险
590002,中高风险
590003,中高风险
590005,中高风险
590006,中高风险
590007,高风险
590008,中高风险
590009,中低风险
590010,中低风险
610001,中高风险
610002,中高风险
610003,中风险
610004,中高风险
610005,中高风险
610006,中高风险
610007,中高风险
610008,中风险
610103,中风险
610108,中风险
620001,中高风险
620002,中高风险
620003,中风险
620004,中高风险
620006,中高风险
620007,中高风险
620008,中高风险
630001,中高风险
630002,中高风险
630003,中风险
630005,中高风险
630006,中高风险
630007,中风险
630008,中高风险
630009,中风险
630010,中高风险
630011,中高风险
630015,中高风险
630016,中高风险
630103,中风险
630107,中风险
630109,中风险
650001,中低风险
650002,中低风险
660001,中高风险
660002,中风险
660003,中高风险
660004,中高风险
660005,中高风险
660006,中高风险
660008,高风险
660009,中风险
660010,中高风险
660011,高风险
660012,中高风险
660013,中风险
660015,中高风险
660102,中风险
660109,中风险
671010,中高风险
673010,中高风险
675011,中风险
675013,中风险
686868,中低风险
686869,中低风险
688888,中高风险
690001,中高风险
690002,中风险
690003,中高风险
690004,中高风险
690005,中高风险
690006,中风险
690007,中高风险
690008,高风险
690009,中高风险
690011,中高风险
690202,中风险
690206,中风险
700001,中高风险
700002,高风险
700003,中高风险
