0,1
南华瑞恒中短债债券C,曹进前
钱文礼,混合型
应晓立,华宸未来稳健添利债券C
国泰金泰灵活配置混合A,彭凌志
债券指数,柳万军
申万菱信安泰惠利纯债C,唐俊杰
股票指数,华夏上证50AH优选指数A
于海颖,交银丰晟收益债券A
余志勇,融通通颐定开债券A
股票指数,宝盈中证100指数增强C
国融融泰灵活配置混合C,梁国桓
定开债券,中加纯债一年C
李慧鹏,民生加银鑫信债券A
债券型,鹏扬利沣短债E
征茂平,上投摩根整合驱动混合
李崟,招商睿逸混合
林英睿,中欧新趋势混合A
博时安恒18个月定开债C,定开债券
中科沃土货币A,马洪娟
交银理财60天债券B,连端清
华夏智胜价值成长C,刘鲁旦
混合型,前海联合泳隽混合A
混合型,国联安鑫禧灵活配置混合C
混合型,林晓凤
债券型,国寿安保尊荣中短债债券C
股票指数,富国中证医药主题指数增强
圆信永丰强化收益A,李明阳
蓝雁书,股票型
王春,华安安益灵活配置混合
银华多利宝货币B,货币型
孙鲁闽,南方避险增值混合
华泰柏瑞丰汇债券A,债券型
金晟哲,博时价值增长混合
周志超,博时逆向投资混合A
华安添颐混合,郑可成
安信新回报混合C,混合型
混合型,嘉实新收益混合
安昀,长信内需成长混合E
定开债券,刘琦
建信稳定鑫利债券A,债券型
国泰景气行业灵活配置混合,混合型
洪木妹,兴银货币B
中加改革红利混合,王梁
债券型,工银信用纯债债券A
王超,融通通瑞债券C
ETF-场内,国泰CES半导体ETF
华夏鼎瑞三个月定开债A,定开债券
银河君信混合I,韩晶
新华鑫泰灵活配置混合,刘彬
杨旭,信诚中证信息安全指数分级
袁曦,银河君荣灵活配置混合I
海富通双福分级债券A,何谦
银华中证一带一路主题指数分级,股票指数
光大保德信安诚债券C,陈晓
北信瑞丰宜投宝A,货币型
FAN BING(范冰),易方达原油C类人民币
招商稳乾定开混合C,滕越
鞠诗颖,货币型
马龙,招商招利一年理财债券
史高飞,混合型
易标普信息科技美元汇,QDII-指数
鹏华货币B,叶朝明
肖侃宁,万家增强收益债券
史浩翔,永赢昌益债券A
张胜记,易方达恒生国企ETF联接C
王旭巍,固定收益
西部利得沪深300指数增强A,盛丰衍
定开债券,蒋文玲
中海惠丰纯债分级债券,冯小波
汇添富优选回报灵活配置混合C,蒋文玲
林国怀,混合-FOF
刘博,中信建投添鑫宝
QDII,顾凡丁
申万菱信竞争优势混合,混合型
王妍,中银智享债券
易方达瑞祥灵活配置混合I,胡剑
广发安泽短债债券C,谢军
股票指数,恒生前海港股通高股息指数
苗婷,中银新财富混合C
国泰中证计算机ETF,艾小军
阮毅,定开债券
混合型,汇添富睿丰混合(LOF)C
混合型,常蓁
张勋,泰达宏利市值优选混合
QDII,郑涛
黄瑞庆,长盛同庆A
国寿安保尊益信用纯债债券,债券型
招商沪深300指数增强C,王平
招商安裕灵活配置混合C,侯杰
征茂平,股票型
混合-FOF,中欧预见养老2035(FOF)A
王小松,广发成长优选混合
前海开源润和债券C,债券型
鑫元合利定开债发起式,定开债券
货币型,李杰
浦银安盛中证高股息ETF,ETF-场内
交银主题优选混合,混合型
混合型,周琦凯
分级杠杆,邹维娜
广发生物科技指数美元,李耀柱
唐晓斌,广发转型升级混合
