code,fund_type,X,Y,symbol,issuer,manager_0,manager_1,manager_2,manager_3,manager_4
162211,Hybrid,-2.2640877,-25.899496,泰达品质,泰达宏利基金管理有限公司,刘洋,庞宝臣,,,
162212,Hybrid,14.088574,-7.3647366,泰达红利,泰达宏利基金管理有限公司,刘欣,,,,
162213,Stock,-40.120533,-22.807768,泰达沪深300A,泰达宏利基金管理有限公司,刘洋,,,,
162214,Hybrid,-5.349684,30.994465,泰达领先,泰达宏利基金管理有限公司,庄腾飞,,,,
162216,Stock,-6.0229383,24.077509,泰达500,泰达宏利基金管理有限公司,刘洋,,,,
162299,Bond,4.1648893,-21.225979,泰达集利C,泰达宏利基金管理有限公司,丁宇佳,刘洋,,,
162307,Stock,-1.20781,15.873473,海富通100,海富通基金管理有限公司,江勇,,,,
162509,Stock,-1.2075816,15.874093,国联安双禧,国联安基金管理有限公司,黄欣,,,,
162605,Hybrid,-38.9962,-25.621264,景顺鼎益,景顺长城基金管理有限公司,刘彦春,,,,
162607,Hybrid,-16.995377,1.9921567,景顺资源,景顺长城基金管理有限公司,杨锐文,,,,
162703,Hybrid,-0.07998626,3.045482,广发小盘,广发基金管理有限公司,刘格菘,,,,
162711,Stock,-5.816516,23.747307,广发500ETF联接A,广发基金管理有限公司,刘杰,,,,
162712,Bond,-15.34163,29.935413,广发聚利A,广发基金管理有限公司,代宇,,,,
162714,Stock,-8.676522,-17.511047,广发100,广发基金管理有限公司,罗国庆,,,,
162907,Stock,-10.170651,29.236485,泰信400,泰信基金管理有限公司,张彦,,,,
163109,Stock,-11.167468,-15.091949,申万深成指,申万菱信基金管理有限公司,龚丽丽,,,,
163110,Stock,-5.930859,23.403305,申万量化,申万菱信基金管理有限公司,袁英杰,张少华,,,
163209,Stock,-5.404773,-20.2931,诺安创业板,诺安基金管理有限公司,梅律吾,,,,
163210,Bond,26.066406,-33.500668,诺安纯债A,诺安基金管理有限公司,谢志华,,,,
163211,Bond,26.066406,-33.500668,诺安纯债C,诺安基金管理有限公司,谢志华,,,,
163302,Hybrid,-20.729103,-6.7149754,大摩资源,摩根士丹利华鑫基金管理有限公司,徐达,,,,
163402,Hybrid,-37.115734,1.2262197,兴全趋势,兴全基金管理有限公司,董承非,乔迁,,,
163406,Hybrid,-42.332687,-2.054748,兴全合润,兴全基金管理有限公司,谢治宇,,,,
163407,Stock,-40.396572,-22.767033,兴全300增强A,兴全基金管理有限公司,申庆,,,,
163409,Hybrid,-42.332367,-2.0548775,兴全绿色,兴全基金管理有限公司,邹欣,,,,
163411,Hybrid,-42.332676,-2.0548768,兴全精选,兴全基金管理有限公司,陈宇,,,,
163412,Hybrid,-42.33252,-2.054877,兴全轻资产,兴全基金管理有限公司,董理,,,,
163415,Hybrid,-42.332516,-2.054877,兴全模式,兴全基金管理有限公司,乔迁,,,,
163503,Hybrid,11.519363,0.33880812,天治核心,天治基金管理有限公司,许家涵,,,,
163801,Hybrid,-41.405945,-2.075934,中银中国,中银基金管理有限公司,陈军,,,,
163803,Hybrid,17.759115,-8.5578165,中银增长A,中银基金管理有限公司,辜岚,,,,
163804,Hybrid,12.3390255,0.16979666,中银收益A,中银基金管理有限公司,陈军,,,,
163805,Hybrid,-41.911774,-1.9032283,中银动态,中银基金管理有限公司,邬炜,,,,
163806,Bond,23.760147,25.947437,中银增利,中银基金管理有限公司,方抗,奚鹏洲,,,
163807,Hybrid,-37.47506,0.9991889,中银优选,中银基金管理有限公司,王伟,,,,
163808,Stock,-1.3808398,15.704185,中银100,中银基金管理有限公司,赵建忠,,,,
163809,Hybrid,-2.46974,-25.394075,中银蓝筹,中银基金管理有限公司,王帅,,,,
163810,Hybrid,-2.4697325,-25.394075,中银价值,中银基金管理有限公司,邬炜,,,,
163811,Bond,44.025883,14.5675745,中银双利A,中银基金管理有限公司,奚鹏洲,,,,
163812,Bond,42.17249,13.289691,中银双利B,中银基金管理有限公司,奚鹏洲,,,,
163816,Bond,0.7608537,3.4782908,中银转债A,中银基金管理有限公司,李建,,,,
163817,Bond,0.7608537,3.4782908,中银转债B,中银基金管理有限公司,李建,,,,
163818,Hybrid,-5.349704,30.99431,中银成长,中银基金管理有限公司,王伟,,,,
163819,Bond,40.009537,24.188435,中银信用,中银基金管理有限公司,陈志华,奚鹏洲,,,
163821,Stock,-37.79886,-16.303041,中银300,中银基金管理有限公司,赵建忠,,,,
163822,Hybrid,-3.1741042,-42.90414,中银主题,中银基金管理有限公司,陈军,黄珺,,,
163823,Hybrid,-6.758097,-2.0242245,中银稳健,中银基金管理有限公司,李建,,,,
163824,Bond,27.473486,-39.296993,中银盛利,中银基金管理有限公司,陈玮,,,,
164105,Bond,-16.183102,28.857912,华富强债,华富基金管理有限公司,尹培俊,,,,
164606,Bond,24.845558,5.6611648,华泰信用,华泰柏瑞基金管理有限公司,陈东,朱向临,,,
164702,Bond,30.173103,-35.33944,汇添富季红,汇添富基金管理股份有限公司,陆文磊,徐光,,,
164809,Stock,-5.8161187,23.747305,工银500,工银瑞信基金管理有限公司,刘伟琳,,,,
164810,Bond,26.481752,-33.644245,工银纯债定期,工银瑞信基金管理有限公司,李娜,,,,
164902,Bond,40.009537,24.188435,交银添利,交银施罗德基金管理有限公司,唐赟,,,,
165309,Stock,-39.53932,-21.493649,建信300,建信基金管理有限责任公司,梁洪昀,,,,
165311,Bond,22.916546,26.005095,建信信用A,建信基金管理有限责任公司,李峰,,,,
